index,PN_URL,edprinc,TM_ID,PN_title,provenance,daterange,language,translation,image,multiple_TMs,trema_status,,batch_order
547,http://www.papyri.info/ddbdp/bgu;11;2130,bgu 11 2130,30447,Edict of a Praefect Concerning Archives;,Oxyrhynchos;,127 CE;," grc, grc;",None;,None;,no,no editorial tremas,,1
546,http://www.papyri.info/ddbdp/bgu;4;1031,bgu 4 1031,27747,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
4,http://www.papyri.info/ddbdp/c.pap.gr;2.1;15,c.pap.gr 2.1 15,15658,Notice of the Deaths of Slaves;,Oxyrhynchos;,78 CE - 79 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,3
2,http://www.papyri.info/ddbdp/chr.mitt;;188,chr.mitt 188,20696,Edict of a Praefect Concerning Archives;,Oxyrhynchos;,127 CE;," grc, grc;",None;,None;,no,has marked tremas,,1
3,http://www.papyri.info/ddbdp/chr.mitt;;196,chr.mitt 196,23521,Auskunftserteilung durch die βιβλιοφύλακες ἐγκτήσεων über das Vermögen eines Inquisiten;,Oxyrhynchos;,309 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,2
1,http://www.papyri.info/ddbdp/chr.mitt;;75,chr.mitt 75,19434,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,0
5,http://www.papyri.info/ddbdp/p.amh;2;136,p.amh 2 136,21701,Letter of Apion;,Oxyrhynchos;,196 CE - 198 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,4
738,http://www.papyri.info/ddbdp/p.bagnall;;45r,p.bagnall 45r,219315,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
6,http://www.papyri.info/ddbdp/p.cair.preis.2;;32,p.cair.preis.2 32,20216,Official Confirmation of the Return of a Will;,Oxyrhynchos;,116 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,5
548,http://www.papyri.info/ddbdp/p.cair.preis.2;;48,p.cair.preis.2 48,28274,Auskunftserteilung durch die βιβλιοφύλακες ἐγκτήσεων über das Vermögen eines Inquisiten;,Oxyrhynchos;,309 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,2
7,http://www.papyri.info/ddbdp/p.col;10;265,p.col 10 265,22266,Letter to a Tax - Farmer of the xenike praktoria;,Oxyrhynchos;,206 CE - 212 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,6
549,http://www.papyri.info/ddbdp/p.col;10;276,p.col 10 276,22271,Notice of the Deaths of Slaves;,Oxyrhynchos;,78 CE - 79 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,3
767,http://www.papyri.info/ddbdp/p.coll.youtie;1;22,p.coll.youtie 1 22,15847,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
8,http://www.papyri.info/ddbdp/p.coll.youtie;1;51,p.coll.youtie 1 51,26672,Invitation to the Kline of Sarapis;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,7
9,http://www.papyri.info/ddbdp/p.coll.youtie;1;52,p.coll.youtie 1 52,26673,Invitation to the Kline of Sarapis;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,8
711,http://www.papyri.info/ddbdp/p.congr.xv;;20,p.congr.xv 20,32157,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
10,http://www.papyri.info/ddbdp/p.corn;;46,p.corn 46,20912,Letter of Fishermen to a Strategus;,Oxyrhynchos;,128 CE - 131 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,9
736,http://www.papyri.info/ddbdp/p.daris;;4,p.daris 4,322168,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,0
551,http://www.papyri.info/ddbdp/p.dubl;;15,p.dubl 15,28940,Official Confirmation of the Return of a Will;,Oxyrhynchos;,116 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,5
550,http://www.papyri.info/ddbdp/p.dubl;;6,p.dubl 6,21604,Letter of Apion;,Oxyrhynchos;,196 CE - 198 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,4
11,http://www.papyri.info/ddbdp/p.fouad;;28,p.fouad 28,20980,Plainte au sujet d’une ruade;,Oxyrhynchos;,59 CE;," grc, grc;",None;,None;,no,no editorial tremas,,10
12,http://www.papyri.info/ddbdp/p.fuad.i.univ;;13,p.fuad.i.univ 13,21010,Official correspondence;,Oxyrhynchos;,297 CE - 298 CE;," grc, grc;",None;,None;,no,no editorial tremas,,11
13,http://www.papyri.info/ddbdp/p.fuad.i.univ;;41r,p.fuad.i.univ 41r,31442,Miscellaneous papyri;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,None;,no,has marked tremas,,12
683,"http://www.papyri.info/ddbdp/p.fuad.i.univ;;AppII,93",p.fuad.i.univ AppII,28678,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
14,http://www.papyri.info/ddbdp/p.genova;1;12,p.genova 1 12,15725,Inizio di documento ufficiale;,Oxyrhynchos;,72 CE - 73 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,13
761,http://www.papyri.info/ddbdp/p.genova;4;170,p.genova 4 170,36287,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
553,http://www.papyri.info/ddbdp/p.harr;1;103,p.harr 1 103,28709,Invitation to the Kline of Sarapis;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,7
552,http://www.papyri.info/ddbdp/p.harr;1;80,p.harr 1 80,21068,Letter to a Tax - Farmer of the xenike praktoria;,Oxyrhynchos;,206 CE - 212 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,has marked tremas,,6
554,http://www.papyri.info/ddbdp/p.harr;2;230,p.harr 2 230,15224,Invitation to the Kline of Sarapis;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,"Img, Img (ext.), Print;",no,no editorial tremas,,8
555,http://www.papyri.info/ddbdp/p.harr;2;231,p.harr 2 231,15225,Letter of Fishermen to a Strategus;,Oxyrhynchos;,128 CE - 131 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,9
15,http://www.papyri.info/ddbdp/p.heid;7;401,p.heid 7 401,21664,Petition an den Präfekten von Ägypten Flavius Philagrius;,Oxyrhynchos;,334 CE - 340 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,14
712,http://www.papyri.info/ddbdp/p.horak;;19,p.horak 19,78374,Edict of a Praefect Concerning Archives;,Oxyrhynchos;,127 CE;," grc, grc;",None;,None;,no,no editorial tremas,,1
684,http://www.papyri.info/ddbdp/p.iand;6;106,p.iand 6 106,27155,Edict of a Praefect Concerning Archives;,Oxyrhynchos;,127 CE;," grc, grc;",None;,None;,no,has marked tremas,,1
557,http://www.papyri.info/ddbdp/p.iand;6;119,p.iand 6 119,17339,Official correspondence;,Oxyrhynchos;,297 CE - 298 CE;," grc, grc;",None;,None;,no,has marked tremas,,11
556,http://www.papyri.info/ddbdp/p.iand;6;93,p.iand 6 93,27152,Plainte au sujet d’une ruade;,Oxyrhynchos;,59 CE;," grc, grc;",None;,None;,no,no editorial tremas,,10
16,http://www.papyri.info/ddbdp/p.iand;7;139,p.iand 7 139,17344,Rechtfertigung eines Dammaufsehers gegenüber dem Idioslogos;,Oxyrhynchos;,148 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,15
743,http://www.papyri.info/ddbdp/p.ifao;3;18,p.ifao 3 18,21182,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,0
776,http://papyri.info/ddbdp/p.koeln;2;105,p.koeln 2 105,21210,Letter: payment order,Oxyrhynchos,208 CE - 209 CE,"grc, grc;",None;,None;,21211,has marked tremas,,5
708,http://www.papyri.info/ddbdp/p.koeln;2;105,p.koeln 2 105,21211,"Eingabe, betreffend ein vor dem Archidikastes anhängiges Verfahren;",Oxyrhynchos;,266 CE;," grc, grc;",None;,"Img (ext.), Print;",head,has marked tremas,,0
17,http://www.papyri.info/ddbdp/p.koeln;2;113,p.koeln 2 113,31495,Anweisung an die Totengräber;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,16
558,http://www.papyri.info/ddbdp/p.koeln;2;94,p.koeln 2 94,21200,Miscellaneous papyri;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,None;,no,no editorial tremas,,12
559,http://www.papyri.info/ddbdp/p.koeln;3;137,p.koeln 3 137,21213,Inizio di documento ufficiale;,Oxyrhynchos;,72 CE - 73 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,13
18,http://www.papyri.info/ddbdp/p.koeln;3;142,p.koeln 3 142,21217,Gestellungsbürgschaft;,Oxyrhynchos;,173 CE - 174 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,17
560,http://www.papyri.info/ddbdp/p.koeln;3;143,p.koeln 3 143,21218,Petition an den Präfekten von Ägypten Flavius Philagrius;,Oxyrhynchos;,334 CE - 340 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,14
685,http://www.papyri.info/ddbdp/p.koeln;4;199,p.koeln 4 199,15468,Auskunftserteilung durch die βιβλιοφύλακες ἐγκτήσεων über das Vermögen eines Inquisiten;,Oxyrhynchos;,309 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,2
19,http://www.papyri.info/ddbdp/p.laur;3;63,p.laur 3 63,21244,Copia (?) di un rapporto di episkepsis;,Oxyrhynchos;,159 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,18
561,http://www.papyri.info/ddbdp/p.laur;4;153,p.laur 4 153,21255,Rechtfertigung eines Dammaufsehers gegenüber dem Idioslogos;,Oxyrhynchos;,148 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,15
20,http://www.papyri.info/ddbdp/p.laur;4;155,p.laur 4 155,21257,Richiesta di pagamento da parte della corporazione τῶν χαλκέων;,Oxyrhynchos;,283 CE - 292 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,19
562,http://www.papyri.info/ddbdp/p.lips;2;140,p.lips 2 140,78445,Anweisung an die Totengräber;,Oxyrhynchos;,201 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,16
563,http://www.papyri.info/ddbdp/p.lips;2;141,p.lips 2 141,78446,Gestellungsbürgschaft;,Oxyrhynchos;,173 CE - 174 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,17
713,http://www.papyri.info/ddbdp/p.louvre;2;99,p.louvre 2 99,88765,Auskunftserteilung durch die βιβλιοφύλακες ἐγκτήσεων über das Vermögen eines Inquisiten;,Oxyrhynchos;,309 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,2
714,http://www.papyri.info/ddbdp/p.mert;1;23,p.mert 1 23,28779,Notice of the Deaths of Slaves;,Oxyrhynchos;,78 CE - 79 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,3
21,http://www.papyri.info/ddbdp/p.mert;2;90,p.mert 2 90,21322,Letter of the Senate to the Strategus;,Oxyrhynchos;,310 CE - 311 CE;," grc, grc;",None;,Print;,no,has marked tremas,,20
686,http://www.papyri.info/ddbdp/p.meyer;;19,p.meyer 19,28258,Notice of the Deaths of Slaves;,Oxyrhynchos;,78 CE - 79 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,3
24,http://www.papyri.info/ddbdp/p.mich;11;623,p.mich 11 623,21369,Official Letter;,Oxyrhynchos;,188 CE - 190 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,23
25,http://www.papyri.info/ddbdp/p.mich;18;787,p.mich 18 787,22194,Entwurf zu einer Eingabe (Neuedition von P.Mich. XI 616);,Oxyrhynchos;,181 CE - 183 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,24
22,http://www.papyri.info/ddbdp/p.mich;3;171,p.mich 3 171,21334,Registration of an Apprentice;,Oxyrhynchos;,58 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,21
23,http://www.papyri.info/ddbdp/p.mich;3;172,p.mich 3 172,21335,Registration of an Apprentice;,Oxyrhynchos;,62 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,22
26,http://www.papyri.info/ddbdp/p.michael;;31,p.michael 31,21411,Fragment of official letter or petition;,Oxyrhynchos;,341 CE;," grc, grc;",None;,None;,no,has marked tremas,,25
27,http://www.papyri.info/ddbdp/p.mil.vogl;1;11,p.mil.vogl 1 11,78532,Lettera di Theone ad Heraclide;,Oxyrhynchos;,101 CE - 150 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,26
687,http://www.papyri.info/ddbdp/p.nyu;2;20,p.nyu 2 20,121969,Letter of Apion;,Oxyrhynchos;,196 CE - 198 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,4
564,http://www.papyri.info/ddbdp/p.oslo;2;49,p.oslo 2 49,28898,Copia (?) di un rapporto di episkepsis;,Oxyrhynchos;,159 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,18
28,http://www.papyri.info/ddbdp/p.oslo;2;52,p.oslo 2 52,28900,Letter;,Oxyrhynchos;,101 CE - 200 CE;," grc, grc;",None;,Img (ext.);,no,no editorial tremas,,27
29,http://www.papyri.info/ddbdp/p.oslo;2;55,p.oslo 2 55,28903,Letter of Recommendation;,Oxyrhynchos;,101 CE - 300 CE;," grc, grc;",None;,Img (ext.);,no,has marked tremas,,28
565,http://www.papyri.info/ddbdp/p.oslo;3;145,p.oslo 3 145,21559,Richiesta di pagamento da parte della corporazione τῶν χαλκέων;,Oxyrhynchos;,283 CE - 292 CE;," grc, grc;",None;,"Img (ext.), Print;",no,no editorial tremas,,19
32,http://www.papyri.info/ddbdp/p.oslo;3;146,p.oslo 3 146,21562,Orders for Delivery of Wine;,Oxyrhynchos;,296 CE - 330 CE;," grc, grc;",None;,None;,no,no editorial tremas,,31
33,http://www.papyri.info/ddbdp/p.oslo;3;158,p.oslo 3 158,31639,Letter to an ἀρχιπροφήτης;,Oxyrhynchos;,276 CE - 300 CE;," grc, grc;",None;,None;,no,has marked tremas,,32
566,http://www.papyri.info/ddbdp/p.oslo;3;186,p.oslo 3 186,31646,Letter of the Senate to the Strategus;,Oxyrhynchos;,310 CE - 311 CE;," grc, grc;",None;,Print;,no,no editorial tremas,,20
30,http://www.papyri.info/ddbdp/p.oslo;3;84,p.oslo 3 84,21531,Letter of the Strategus of Alexandria concerning Two Stolen Camels;,Oxyrhynchos;,138 CE - 161 CE;," grc, grc;",None;,None;,no,has marked tremas,,29
688,http://www.papyri.info/ddbdp/p.oslo;3;86,p.oslo 3 86,21533,Official Confirmation of the Return of a Will;,Oxyrhynchos;,116 CE;," grc, grc;",None;,"Img (ext.), Print;",no,has marked tremas,,5
